,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
32,Ge,nan,0,0,0,0,0.03,0.016,0,0,0,0,0,0.002,0.019,0.437,0.056,0.003,0,0,0,0,0,0.011,0,0.004,0.006,0,0.004,0.008,0.005,0.007,0.043,1,0.041,0.003,0,0,0,0,0,0.003,0,0,0,0.006,0.014,0.017,0.005,0.006,0.019,0.116,0.034,0.003,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.003,0,0,0,0.004,0.013,0.017,0.02,0.006,0.012,0.043,0.016,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
33,As,nan,0,0,0,0,0.016,0.016,0.092,0.031,0,0,0,0,0,0.032,0.344,0.041,0,0,0,0,0,0,0.015,0.008,0,0,0,0,0,0.006,0.003,0.041,1,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.014,0.198,0.045,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0.003,0,0,0.005,0.095,0.026,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
34,Se,nan,0,0,0,0,0,0.017,0.047,0.086,0,0,0,0,0,0,0.035,0.452,0,0,0,0.002,0.002,0.012,0,0.008,0,0,0,0.002,0,0.003,0,0.003,0.039,1,0.004,0,0,0.002,0.001,0.003,0,0,0,0,0,0,0,0,0,0.005,0.039,0.253,0.006,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0.004,0,0,0,0.004,0.016,0.053,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
35,Br,nan,0.039,0,0,0,0,0,0,0.008,0.094,0,0,0,0,0,0,0.004,0.617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.406,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
36,Kr,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
37,Rb,nan,0.015,0,0.035,0,0,0,0,0,0,0,0.091,0,0,0,0,0,0,0,0.391,0,0,0,0,0,0.002,0,0,0,0.009,0,0,0,0,0,0,0,1,0.003,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.449,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0.075,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
38,Sr,nan,0,0,0.005,0.006,0,0,0,0,0,0,0.01,0.014,0,0,0,0,0,0,0.009,0.161,0.008,0.002,0.002,0,0.004,0.001,0.002,0.003,0,0.004,0,0,0,0.002,0,0,0.003,1,0.015,0.005,0.002,0,0,0,0,0,0,0.014,0.002,0.004,0,0,0,0,0.006,0.208,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.004,0,0,0,0,0,0,0.008,0.003,0.037,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
39,Y,nan,0,0,0.005,0.004,0,0,0,0,0,0,0.003,0.006,0.006,0,0,0,0,0,0,0.02,0.039,0.01,0.005,0.006,0.008,0.005,0.003,0.003,0.002,0.004,0.004,0,0,0.001,0,0,0,0.015,1,0.019,0.005,0.006,0,0,0.004,0.002,0.004,0.003,0.014,0.004,0.001,0.003,0,0,0,0.011,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.013,0.005,0,0,0,0,0.003,0.003,0.005,0.007,0.005,0.011,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
40,Zr,nan,0,0,0.007,0.013,0.005,0,0,0,0,0,0,0.008,0.008,0.006,0,0,0,0,0,0.005,0.047,0.085,0.025,0.012,0.015,0.005,0.003,0.005,0.003,0.003,0.005,0.003,0,0.003,0,0,0,0.005,0.019,1,0.045,0.015,0,0.006,0.002,0.005,0.003,0,0.006,0.022,0.002,0.004,0,0,0,0.006,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.162,0.042,0.007,0.008,0,0.005,0.01,0,0,0,0.009,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
41,Nb,nan,0,0,0,0,0,0,0,0,0,0,0,0.006,0.004,0,0,0,0,0,0,0.002,0.023,0.058,0.074,0.029,0.024,0.007,0.003,0.005,0.003,0,0.003,0,0,0,0,0,0,0.002,0.005,0.045,1,0.046,0,0.014,0.002,0.003,0.003,0,0.003,0.005,0.016,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.056,0.233,0.031,0.022,0.007,0.004,0.007,0.003,0,0,0.003,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
42,Mo,nan,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0.004,0,0,0,0,0.009,0.035,0.051,0.047,0.014,0.019,0.014,0.011,0.003,0,0.006,0,0,0,0,0,0,0,0.006,0.015,0.046,1,0.015,0.019,0.013,0.004,0.004,0,0.007,0.015,0,0.007,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.015,0.027,0.256,0.049,0.007,0.009,0.006,0,0,0,0.004,0.007,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
