Element,Vdw radius,Covalent radius,Valence,Electronegativity,Space group #,Space group short,Strukturbericht,Atomic packing factor,Work function,Number of non-core electrons,Number s electrons,Number p electrons,Number d electrons,Number f electrons,1s pp radii,2s pp radii,2p pp radii,3s pp radii,3p pp radii,3d pp radii,4s pp radii,4p pp radii,4d pp radii,5s pp radii,5p pp radii,5d pp radii,5f pp radii,6s pp radii,6p pp radii,6d pp radii,7s pp radii,4f pp radii,Pettifor scale,Modified Pettifor,Atomic mass,DFT fcc lattice param,DFT hcp lattice param,DFT fcc cohesive energy,DFT hcp cohesive energy
Se,1.82,1.20,6,2.55,152,P3121,A8,nan,5.90,16,2,4,10,0,0,0,0,0,0.263,0.2345,0.775,0.909,0,0,0,0,0,0,0,0,0,0,93.00,95.00,78.97,nan,nan,nan,nan
Br,1.86,1.20,7,3.16,64,Cmca,nan,nan,nan,17,2,5,10,0,0,0,0,0,0.253,0.2235,0.73,0.8425,0,0,0,0,0,0,0,0,0,0,98.00,100.00,79.90,nan,nan,nan,nan
Kr,2.25,1.16,0,3.00,225,Fm3m,A1,0.74,nan,18,2,6,10,0,0,0,0,0,0.244,0.2135,0.691,0.787,0,0,0,0,0,0,0,0,0,0,4.00,4.00,83.80,nan,nan,nan,nan
Rb,3.21,2.20,1,0.82,229,lm3m,A2,0.68,2.26,1,1,0,0,0,0,0,0,0,0,0,0,0.735,0,2.287,0,0,0,0,0,0,0,0,9.00,9.00,85.47,nan,nan,nan,nan
Sr,2.84,1.95,2,0.95,225,Fm3m,A1,0.74,2.59,2,2,0,0,0,0,0,0,0,0,0,0,0.685,0,1.836,0,0,0,0,0,0,0,0,15.00,15.00,87.62,nan,nan,nan,nan
Y,2.75,1.90,2,1.22,194,P63/mmc,A3,0.74,3.10,3,2,0,1,0,0,0,0,0,0,0,0,0.646,0.865,1.693,0,0,0,0,0,0,0,0,19.00,21.00,88.91,nan,nan,nan,nan
Zr,2.52,1.75,2,1.33,194,P63/mmc,A3,0.74,4.05,4,2,0,2,0,0,0,0,0,0,0,0,0.613,0.79,1.593,0,0,0,0,0,0,0,0,49.00,49.00,91.22,nan,nan,nan,nan
Nb,2.56,1.64,1,1.60,229,Im3m,A2,0.68,4.36,5,1,0,4,0,0,0,0,0,0,0,0,0.586,0.747,1.589,0,0,0,0,0,0,0,0,52.00,53.00,92.91,4.17,2.83,-10.62,-10.66
Mo,2.45,1.54,1,2.16,229,Im3m,A2,0.68,4.73,6,1,0,5,0,0,0,0,0,0,0,0,0.56,0.699,1.52,0,0,0,0,0,0,0,0,55.00,56.00,95.95,3.96,2.84,-11.42,-11.38
Tc,2.44,1.47,1,1.90,194,P63/mmc,A3,0.74,nan,7,2,0,5,0,0,0,0,0,0,0,0,0.535,0.645,1.391,0,0,0,0,0,0,0,0,58.00,59.00,nan,nan,nan,nan,nan
